"","marker","patient_id","group","Expression","signif","marker_title"
"57","CD29","RPs103B","MP",3.61138596516763,"***","CD29 ***"
"58","CD29","RPs103B","RP",4.22325759426154,"***","CD29 ***"
"59","CD29","RPS111B","MP",3.51568534262657,"***","CD29 ***"
"60","CD29","RPS111B","RP",4.30102726654692,"***","CD29 ***"
"61","CD29","RPS136B","MP",4.0188963953162,"***","CD29 ***"
"62","CD29","RPS136B","RP",4.78175537023868,"***","CD29 ***"
"63","CD29","RPs150B","MP",3.35494871359717,"***","CD29 ***"
"64","CD29","RPs150B","RP",4.11021143152416,"***","CD29 ***"
"65","CD29","RPs154B","MP",3.64315272746136,"***","CD29 ***"
"66","CD29","RPs154B","RP",4.42702947972269,"***","CD29 ***"
"67","CD3","RPs137B","MP",0,"","CD3 "
"68","CD3","RPs137B","RP",0,"","CD3 "
"69","CD3","RPs138B","MP",0,"","CD3 "
"70","CD3","RPs138B","RP",0,"","CD3 "
"71","CD3","RPs139B","MP",0,"","CD3 "
"72","CD3","RPs139B","RP",0,"","CD3 "
"73","CD3","RPs144B","MP",0,"","CD3 "
"74","CD3","RPs144B","RP",0,"","CD3 "
"75","CD3","RPs097B","MP",0,"","CD3 "
"76","CD3","RPs097B","RP",0,"","CD3 "
"77","CD3","RPs098B","MP",0,"","CD3 "
"78","CD3","RPs098B","RP",0,"","CD3 "
"79","CD3","RPs103B","MP",0,"","CD3 "
"80","CD3","RPs103B","RP",0,"","CD3 "
"81","CD3","RPS111B","MP",0,"","CD3 "
"82","CD3","RPS111B","RP",0,"","CD3 "
"83","CD3","RPS136B","MP",0,"","CD3 "
"84","CD3","RPS136B","RP",0,"","CD3 "
"85","CD3","RPs150B","MP",0,"","CD3 "
"86","CD3","RPs150B","RP",0,"","CD3 "
"87","CD3","RPs154B","MP",0,"","CD3 "
"88","CD3","RPs154B","RP",0,"","CD3 "
"89","CD31","RPs137B","MP",1.69782766862359,"***","CD31 ***"
"90","CD31","RPs137B","RP",2.28964540820724,"***","CD31 ***"
"91","CD31","RPs138B","MP",2.20375870303802,"***","CD31 ***"
"92","CD31","RPs138B","RP",2.94021339275435,"***","CD31 ***"
"93","CD31","RPs139B","MP",1.67819848327592,"***","CD31 ***"
"94","CD31","RPs139B","RP",2.38457105362689,"***","CD31 ***"
"95","CD31","RPs144B","MP",2.25077629366224,"***","CD31 ***"
"96","CD31","RPs144B","RP",2.96169887467186,"***","CD31 ***"
"97","CD31","RPs097B","MP",1.3026704917089,"***","CD31 ***"
"98","CD31","RPs097B","RP",1.89774820433277,"***","CD31 ***"
"99","CD31","RPs098B","MP",2.29078813639801,"***","CD31 ***"
"100","CD31","RPs098B","RP",3.02708508209507,"***","CD31 ***"
"101","CD31","RPs103B","MP",1.88176856786776,"***","CD31 ***"
"102","CD31","RPs103B","RP",2.41160506612801,"***","CD31 ***"
"103","CD31","RPS111B","MP",1.2582116171563,"***","CD31 ***"
"104","CD31","RPS111B","RP",1.98200897891944,"***","CD31 ***"
"105","CD31","RPS136B","MP",2.45238563862508,"***","CD31 ***"
"106","CD31","RPS136B","RP",3.13253868689484,"***","CD31 ***"
"107","CD31","RPs150B","MP",0.83667575905575,"***","CD31 ***"
"108","CD31","RPs150B","RP",1.43863936102229,"***","CD31 ***"
"109","CD31","RPs154B","MP",1.16856759357581,"***","CD31 ***"
"110","CD31","RPs154B","RP",1.81280757425138,"***","CD31 ***"
"111","CD36","RPs137B","MP",2.46822123542758,"***","CD36 ***"
"112","CD36","RPs137B","RP",3.1064781623818,"***","CD36 ***"
"113","CD36","RPs138B","MP",2.8679221798246,"***","CD36 ***"
"114","CD36","RPs138B","RP",3.60940488042249,"***","CD36 ***"
"115","CD36","RPs139B","MP",2.61549414529201,"***","CD36 ***"
"116","CD36","RPs139B","RP",3.35451281356409,"***","CD36 ***"
"117","CD36","RPs144B","MP",3.04685481286929,"***","CD36 ***"
"118","CD36","RPs144B","RP",3.77214345240209,"***","CD36 ***"
"119","CD36","RPs097B","MP",1.91551912704259,"***","CD36 ***"
"120","CD36","RPs097B","RP",2.58639487826334,"***","CD36 ***"
"121","CD36","RPs098B","MP",3.24516053466082,"***","CD36 ***"
"122","CD36","RPs098B","RP",3.96923666770022,"***","CD36 ***"
"123","CD36","RPs103B","MP",2.47127799928116,"***","CD36 ***"
"124","CD36","RPs103B","RP",3.06236839064163,"***","CD36 ***"
"125","CD36","RPS111B","MP",1.8642553894324,"***","CD36 ***"
"126","CD36","RPS111B","RP",2.57042225474574,"***","CD36 ***"
"127","CD36","RPS136B","MP",3.34090611766817,"***","CD36 ***"
"128","CD36","RPS136B","RP",4.05820463770548,"***","CD36 ***"
"129","CD36","RPs150B","MP",1.76670784603032,"***","CD36 ***"
"130","CD36","RPs150B","RP",2.51415295919593,"***","CD36 ***"
"131","CD36","RPs154B","MP",2.52369077238895,"***","CD36 ***"
"132","CD36","RPs154B","RP",3.23774345367125,"***","CD36 ***"
"133","CD40","RPs137B","MP",0,"***","CD40 ***"
"134","CD40","RPs137B","RP",0.120991768891547,"***","CD40 ***"
"135","CD40","RPs138B","MP",0,"***","CD40 ***"
"136","CD40","RPs138B","RP",0.265157169871672,"***","CD40 ***"
"137","CD40","RPs139B","MP",0,"***","CD40 ***"
"138","CD40","RPs139B","RP",0.197686906552972,"***","CD40 ***"
"139","CD40","RPs144B","MP",0.00446012962810445,"***","CD40 ***"
"140","CD40","RPs144B","RP",0.275953105345248,"***","CD40 ***"
"141","CD40","RPs097B","MP",0,"***","CD40 ***"
"142","CD40","RPs097B","RP",0.141948964273059,"***","CD40 ***"
"143","CD40","RPs098B","MP",0,"***","CD40 ***"
"144","CD40","RPs098B","RP",0.221950976957672,"***","CD40 ***"
"145","CD40","RPs103B","MP",0,"***","CD40 ***"
"146","CD40","RPs103B","RP",0.038846127701895,"***","CD40 ***"
"147","CD40","RPS111B","MP",0,"***","CD40 ***"
"148","CD40","RPS111B","RP",0.147843040354065,"***","CD40 ***"
"149","CD40","RPS136B","MP",0.0422243716217163,"***","CD40 ***"
"150","CD40","RPS136B","RP",0.349988950872288,"***","CD40 ***"
"151","CD40","RPs150B","MP",0.0149435196168964,"***","CD40 ***"
"152","CD40","RPs150B","RP",0.299956873651418,"***","CD40 ***"
"153","CD40","RPs154B","MP",0.0118721568386691,"***","CD40 ***"
"154","CD40","RPs154B","RP",0.293335442901141,"***","CD40 ***"
"155","CD41","RPs137B","MP",1.36533477631799,"***","CD41 ***"
"156","CD41","RPs137B","RP",1.9935951984646,"***","CD41 ***"
"157","CD41","RPs138B","MP",1.9478335125727,"***","CD41 ***"
"158","CD41","RPs138B","RP",2.75195095738595,"***","CD41 ***"
"159","CD41","RPs139B","MP",1.41817698043163,"***","CD41 ***"
"160","CD41","RPs139B","RP",2.16566086361297,"***","CD41 ***"
"161","CD41","RPs144B","MP",1.91936087858779,"***","CD41 ***"
"162","CD41","RPs144B","RP",2.68896150825059,"***","CD41 ***"
"163","CD41","RPs097B","MP",1.00813805804874,"***","CD41 ***"
"164","CD41","RPs097B","RP",1.62092197120789,"***","CD41 ***"
"165","CD41","RPs098B","MP",2.12466556483262,"***","CD41 ***"
"166","CD41","RPs098B","RP",2.80262851132384,"***","CD41 ***"
"167","CD41","RPs103B","MP",1.65310766903117,"***","CD41 ***"
"168","CD41","RPs103B","RP",2.28936931161221,"***","CD41 ***"
"169","CD41","RPS111B","MP",1.05039065989071,"***","CD41 ***"
"170","CD41","RPS111B","RP",1.78762798804536,"***","CD41 ***"
"171","CD41","RPS136B","MP",2.13043630094031,"***","CD41 ***"
"172","CD41","RPS136B","RP",2.85933646280413,"***","CD41 ***"
"173","CD41","RPs150B","MP",1.16838126091718,"***","CD41 ***"
